"Gene"	"ICLE D2 Score Average"	"NST D2 Score Average"	"D2 Effect Size"	"D2 P-value"	"D2 FDR"	"SIMEM Effect Size"	"SIMEM P-value"	"SIMEM FDR"	"Significance"	"Group"	"Group & Significance"	"Consensus Dependency"	"Present in DGI"	"DGI Score"	"Drug"
"A1BG"	-0.10609063769405	0.06099977305579	-0.16709041074984	0.0960600766539964	0.829161654196083	-0.2246083605666	0.00310681783478789	0.39547179184207	"NS"	""	"4"	"N"	"N"	NA	NA
"CDH2"	0.0717444918841178	0.039194605176085	0.0325498867080328	0.53138735095121	0.947422634331019	0.0700711572070466	0.172088700234836	0.787714901945041	"NS"	""	"4"	"N"	"Y"	0.756154537	"ABCIXIMAB"
"AKT3"	0.105990314308882	0.05847009073676	0.0475202235721222	0.449067522708376	0.927883482679315	0.022195215227016	0.584350845756888	0.93234336238882	"NS"	""	"4"	"N"	"Y"	0.054209608	"Alpelisib"
"MED6"	-0.348878715561111	-0.3866747842881	0.0377960687269888	0.675873428684338	0.967042995752405	0.123187459714591	0.0469071020381183	0.642659993495528	"NS"	""	"4"	"N"	"N"	NA	NA
"NR2E3"	-0.222132816857622	-0.15697481102	-0.0651580058376222	0.456288797164286	0.929061398998437	-0.0370165085138057	0.543321882066101	0.928374551013441	"NS"	""	"4"	"N"	"Y"	0.200612428	"LESCOL"
"NAALAD2"	0.184134924219856	0.09170140022289	0.0924335239969656	0.0744186059804372	0.80980673788148	0.11095111408805	0.00507339656586062	0.441611182294226	"NS"	""	"4"	"N"	"N"	NA	NA
"NAALADL1"	0.137052238657457	0.15124763523468	-0.0141953965772234	0.845381942295714	0.985825139172247	-0.0379352732537379	0.470718731608213	0.91643949328092	"NS"	""	"4"	"N"	"N"	NA	NA
"ACOT8"	-0.3389857253785	-0.36639027038265	0.02740454500415	0.793640475193884	0.982719381583104	0.159456595700064	0.227361606720532	0.825242033886519	"NS"	""	"4"	"N"	"N"	NA	NA
"ABI1"	-0.0898313236196589	-0.139283544590808	0.0494522209711491	0.71162678959347	0.971997369689379	0.0753044471465521	0.517747685890165	0.925761521384089	"NS"	""	"4"	"N"	"Y"	1.228751123	"asparaginase"
"GNPDA1"	0.0529846151108667	0.07416615609191	-0.0211815409810433	0.743885365962832	0.974885856674524	-0.151428971500945	0.0470390039687349	0.64334682308214	"NS"	""	"4"	"N"	"N"	NA	NA
"KCNE3"	-0.0413218798875889	-0.14542240041224	0.104100520524651	0.119446895458489	0.832515964681668	0.161019273603421	0.152130786621311	0.776973439430931	"NS"	""	"4"	"N"	"N"	NA	NA
"ZBTB33"	0.00857357927386667	-0.010364515581497	0.0189380948553637	0.77056960067472	0.979027805521663	0.0722937413006938	0.274618771944157	0.84767494919009	"NS"	""	"4"	"N"	"N"	NA	NA
"CDH3"	0.0747048104794667	0.074195006956787	0.00050980352267968	0.992911300010615	0.998924110133574	-0.0302608686251053	0.756690321274658	0.967125753657557	"NS"	""	"4"	"N"	"N"	NA	NA
"TANK"	-0.250659951863178	-0.486508040017	0.235848088153822	0.121770091431906	0.832515964681668	-0.123839863973854	0.34011080636302	0.876764469325741	"NS"	""	"4"	"N"	"Y"	3.932003593	"adalimumab"
"CTAGE4"	-0.0203737986872222	0.023572410860414	-0.0439462095476362	0.374493515832461	0.916822839813448	0.0485245710287208	0.533244071926936	0.928374551013441	"NS"	""	"4"	"N"	"N"	NA	NA
"DPY19L1P1"	0.00210949242883334	0.06599494197086	-0.0638854495420267	0.468615172931847	0.930969222444946	-0.0941879889356419	0.149765458876354	0.776503065557443	"NS"	""	"4"	"N"	"N"	NA	NA
"HDAC6"	0.106976497959011	0.007628823635807	0.0993476743232041	0.2667065732193	0.890214301604513	0.00257665666000958	0.961098616352707	0.996898186998888	"NS"	""	"4"	"N"	"Y"	0.580031586	"VORINOSTAT"
"LOC100130691"	0.0887033150886	-0.1242599868139	0.2129633019025	0.022851482739773	0.764943749632032	0.0918059531515577	0.117529847365941	0.743010580128886	"NS"	""	"4"	"N"	"N"	NA	NA
"UBE2DNL"	-0.326142105102942	-0.15122297304135	-0.174919132061592	0.10580380716122	0.829161654196083	-0.00747899228379445	0.933074733103386	0.993411686281113	"NS"	""	"4"	"N"	"N"	NA	NA
"KIR2DS2"	-0.0263429176776044	-0.018701646209909	-0.00764127146769546	0.93108340963742	0.992040377519976	-0.0172663127906194	0.818067486758925	0.979643476111129	"NS"	""	"4"	"N"	"Y"	1.843126684	"GLYCYRRHETINIC ACID"
"CD24"	-0.0242601089369111	0.06819354880121	-0.0924536577381211	0.310804699616712	0.897777706782457	-0.00608071648540682	0.891057229818287	0.987512440633981	"NS"	""	"4"	"N"	"N"	3.276669661	"PITAVASTATIN MAGNESIUM"
"HDAC5"	-0.0602283213211444	-0.04639320802736	-0.0138351132937844	0.839420233640872	0.985645688266929	-0.0332434319718944	0.569747274656685	0.930359157327798	"NS"	""	"4"	"N"	"Y"	0.585119582	"BELINOSTAT"
"PDCD6IP"	-0.306694894349844	-0.066194129341646	-0.240500765008198	0.0389202060370124	0.777096367709328	-0.174582812910025	0.279795343879829	0.848480306905596	"NS"	""	"4"	"N"	"N"	NA	NA
"PDCD6"	-0.264418329107933	-0.12756385286295	-0.136854476244983	0.191022893988357	0.869992431965738	-0.213313423257963	0.0808665628774977	0.691988808506884	"NS"	""	"4"	"N"	"N"	NA	NA
"SH2B3"	-0.11142257653288	-0.058652630083879	-0.0527699464490012	0.501905825221103	0.939825641534796	0.0381706324912727	0.534576044927527	0.928374551013441	"NS"	""	"4"	"N"	"Y"	6.805390834	"Ruxolitinib"
"CDH4"	-0.119539184162378	-0.003163771664053	-0.116375412498325	0.0271949667427466	0.764943749632032	-0.080675718429088	0.0527343934489681	0.655690822186901	"NS"	""	"4"	"N"	"Y"	2.808573995	"FLUDROCORTISONE ACETATE"
"GNE"	-0.225080177209444	-0.21820512869748	-0.00687504851196438	0.945800840770399	0.994062324382887	0.144184149060008	0.288098887106427	0.85060689104374	"NS"	""	"4"	"N"	"N"	NA	NA
"HCN4"	0.0462209994860555	-0.0185151561404	0.0647361556264555	0.48948189217541	0.936003384040321	0.029658505688693	0.849843903756804	0.982824457780222	"NS"	""	"4"	"N"	"Y"	19.66001797	"SUCRALFATE"
"INSL5"	-0.110632071483029	-0.006022800094511	-0.104609271388518	0.429376461703842	0.925861881077451	-0.0312405796013057	0.688425614309676	0.954025502770208	"NS"	""	"4"	"N"	"N"	NA	NA
"TROAP"	0.0481749615029556	-0.02173829671463	0.0699132582175856	0.430761511379868	0.925861881077451	-0.0439910298243668	0.553695123595105	0.929492053283956	"NS"	""	"4"	"N"	"N"	NA	NA
"MED16"	0.00061805412948777	0.0200665890168	-0.0194485348873122	0.825003387250497	0.985645688266929	-0.262633622685371	0.00951684600718562	0.485062773999461	"NS"	""	"4"	"N"	"N"	NA	NA
"PIGK"	0.00149402603368889	0.04178108944855	-0.0402870634148611	0.566389393579037	0.9534221002379	-0.106902264037076	0.19546160671652	0.798656278716164	"NS"	""	"4"	"N"	"N"	NA	NA
"LOC100287896"	0.0312377296439389	-0.10926460230147	0.140502331945409	0.14893262012685	0.845300587743584	0.0245430155870449	0.71675875576942	0.961361000947435	"NS"	""	"4"	"N"	"N"	NA	NA
"CDH5"	-0.00644236971631111	0.002501269126183	-0.00894363884249411	0.927746079845184	0.992040377519976	-0.0352548702670615	0.422083086996147	0.900036714646036	"NS"	""	"4"	"N"	"N"	NA	NA
"CHAF1A"	-0.909302214405778	-1.094278265549	0.184976051143222	0.165792430287929	0.857709448699565	0.321817448039812	0.0557183196728286	0.658943571967574	"NS"	""	"4"	"N"	"N"	NA	NA
"PARP2"	-0.0886661724163778	-0.0450410837035689	-0.0436250887128089	0.479984472989853	0.934155974644646	0.00877945998212855	0.931820427658175	0.993411686281113	"NS"	""	"4"	"N"	"Y"	2.457502246	"LANREOTIDE"
"PARP3"	0.0539761979528555	0.031730154123451	0.0222460438294045	0.737543294294986	0.974885856674524	0.00931393756564776	0.846931249388841	0.982470110120192	"NS"	""	"4"	"N"	"Y"	3.276669661	"PITAVASTATIN MAGNESIUM"
"CDH6"	0.0033561118803	-0.02616316790965	0.02951927978995	0.617059916643468	0.959436901649942	0.0615888147513718	0.305997583669662	0.859360230210508	"NS"	""	"4"	"N"	"N"	NA	NA
"TOM1L1"	-0.0185876449682222	0.19113615832736	-0.209723803295582	0.182565563477342	0.864158377784473	0.0271528687467128	0.710676827953127	0.95933556412661	"NS"	""	"4"	"N"	"N"	NA	NA
"HMGXB4"	-0.0805853126816467	-0.1095137247606	0.0289284120789533	0.67983787330666	0.967318648487311	0.0186011705437166	0.624993826457894	0.938920533377401	"NS"	""	"4"	"N"	"N"	NA	NA
