"Name"	"Sample"	"Study"	"overlapWCCLE"	"FGA"	"SV"	"Fusions"	"DMI"	"TMB"
"MDAMB134VI-C"	"MDAMB134VI"	"Other"	"Y"	0.170631016833141	NA	NA	16.6934028658591	2.88
"BCK4-I"	"BCK4"	"ICLE"	""	0.137694776753871	59	3	18.3497117206277	5.74
"MDAMB134VI-I"	"MDAMB134VI"	"ICLE"	""	0.184218749806999	131	12	18.0689437137531	3.94
"UACC3133-I"	"UACC3133"	"ICLE"	""	0.326789260332051	164	22	14.4237032483267	5.44
"HCC2185-I"	"HCC2185"	"ICLE"	""	0.248179753409183	310	38	13.8605753274335	5.62
"IPH926-I"	"IPH926"	"ICLE"	""	0.368014023856287	370	31	17.5622057325225	8.16
"MDAMB330-I"	"MDAMB330"	"ICLE"	""	0.270808280264789	262	36	20.7216061643535	7.28
"SUM44PE-I"	"SUM44PE"	"ICLE"	""	0.284282409726804	167	14	20.9204192340061	4.84
"WCRC25-I"	"WCRC25"	"ICLE"	""	0.143806071140669	139	18	15.5878138327929	7.46
"MDAMB468-C"	"MDAMB468"	"Other"	"Y"	0.531330542950337	NA	NA	15.6853290486472	6.86
"HCC2218-C"	"HCC2218"	"Other"	"Y"	0.214358215765335	NA	NA	15.6958697654995	6.72
"SKBR3-C"	"SKBR3"	"Other"	"Y"	0.205393883925095	NA	NA	NA	3.72
"MDAMB453-C"	"MDAMB453"	"Other"	"Y"	0.22499447446887	NA	NA	20.7546839461099	15.28
"ZR7530-C"	"ZR7530"	"Other"	"Y"	NA	NA	NA	16.3340337894483	7.16
"HCC1187-C"	"HCC1187"	"Other"	"Y"	0.227141518055635	NA	NA	10.9356808110615	3.8
"CAMA1-C"	"CAMA1"	"Other"	"Y"	0.260642256973554	NA	NA	18.2582825632305	8.12
"CAMA1-I"	"CAMA1"	"ICLE"	""	0.25762726161801	114	18	17.6692238865566	8.44
"HCC1187-I"	"HCC1187"	"ICLE"	""	0.209535975247831	256	35	11.2666664675764	4.72
"HCC2218-I"	"HCC2218"	"ICLE"	""	0.2402602344658	168	29	14.9960006144811	7.3
"MDAMB453-I"	"MDAMB453"	"ICLE"	""	0.234610189354184	270	39	20.8064396979325	14.18
"600MPE-I"	"600MPE"	"ICLE"	""	0.180805474960468	254	36	15.3872316342089	3.76
"SKBR3-I"	"SKBR3"	"ICLE"	""	0.205393883925095	544	44	NA	6.96
"ZR7530-I"	"ZR7530"	"ICLE"	""	0.212148222232859	337	58	16.409592949073	8.52
"MDAMB468-I"	"MDAMB468"	"ICLE"	""	0.228188306795879	285	23	15.8982797523615	7.58
"OCUBM-I"	"OCUBM"	"ICLE"	""	0.409953974818291	490	32	16.0111138561712	14.6
"HS578T-C"	"HS578T"	"Other"	""	0.0977844130243905	NA	NA	NA	3.36
"HCC1143-C"	"HCC1143"	"Other"	""	0.314566665989757	NA	NA	13.968615474565	3.9
"HCC1954-C"	"HCC1954"	"Other"	""	0.235828995500041	NA	NA	18.260025769191	5.26
"HCC2157-C"	"HCC2157"	"Other"	""	NA	NA	NA	20.4702302690694	6.3
"BT474-C"	"BT474"	"Other"	""	0.218029584762806	NA	NA	15.2279131855236	16.32
"HDQP1-C"	"HDQP1"	"Other"	""	0.23716215623578	NA	NA	12.7048670914493	6.04
"BT483-C"	"BT483"	"Other"	""	0.22981379176837	NA	NA	14.1538259989671	8.84
"HCC1937-C"	"HCC1937"	"Other"	""	0.237529727145867	NA	NA	15.365356490182	4.3
"HCC1419-C"	"HCC1419"	"Other"	""	0.133447269296401	NA	NA	15.6599508605312	4
"HCC1569-C"	"HCC1569"	"Other"	""	0.345923017937535	NA	NA	17.2874176385537	35.28
"HCC1806-C"	"HCC1806"	"Other"	""	0.205858276729867	NA	NA	11.7247491451352	4.76
