genename	chrom
NADK	1
GNB1	1
TNFRSF14	1
PRDM16	1
RPL22	1
CAMTA1	1
ERRFI1	1
PIK3CD	1
MTOR	1
FBXO44	1
MAD2L2	1
SPEN	1
SDHB	1
PAX7	1
PLA2G2E	1
CDC42	1
ID3	1
ARID1A	1
MAP3K6	1
SESN2	1
LCK	1
HDAC1	1
SFPQ	1
AGO1	1
STK40	1
CSF3R	1
RRAGC	1
MYCL	1
MPL	1
MUTYH	1
PIK3R3	1
RAD54L	1
MKNK1	1
TAL1	1
STIL	1
FAF1	1
CDKN2C	1
EPS15	1
JUN	1
JAK1	1
NEGR1	1
FUBP1	1
BCL10	1
RPL5	1
TMEM167B	1
GSTM4	1
CSF1	1
RBM15	1
CEPT1	1
PPM1J	1
TRIM33	1
NRAS	1
CSDE1	1
ATP1A1	1
CD58	1
VTCN1	1
HSD3B1	1
NOTCH2	1
PDE4DIP	1
BCL9	1
APH1A	1
MCL1	1
ARNT	1
SETDB1	1
MLLT11	1
ZNF687	1
TPM3	1
CKS1B	1
MUC1	1
YY1AP1	1
RIT1	1
LMNA	1
PRCC	1
NTRK1	1
FCRL4	1
NCSTN	1
SDHC	1
FCGR2B	1
DDR2	1
NUF2	1
PBX1	1
PRRX1	1
ABL2	1
TPR	1
CDC73	1
KCNT2	1
F13B	1
PTPRC	1
ELF3	1
BTG2	1
PIK3C2B	1
MDM4	1
ELK4	1
SLC45A3	1
IKBKE	1
IL10	1
TRAF5	1
PARP1	1
PGBD5	1
C1orf198	1
SPRTN	1
ARID4B	1
RGS7	1
FH	1
AKT3	1
SMYD3	1
OR2M7	1
MYCN	2
NCOA1	2
DNMT3A	2
ASXL2	2
CENPA	2
CAD	2
ZNF512	2
PPP1CB	2
ALK	2
YPEL5	2
STRN	2
SOS1	2
EML4	2
ZFP36L2	2
EPAS1	2
EPCAM	2
MSH2	2
MSH6	2
FBXO11	2
FANCL	2
BCL11A	2
REL	2
XPO1	2
ETAA1	2
ASPRV1	2
PCBP1	2
TET3	2
DCTN1	2
GGCX	2
ASTL	2
DUSP2	2
TMEM127	2
ARID5A	2
INPP4A	2
AFF3	2
RANBP2	2
BCL2L11	2
MERTK	2
TTL	2
PAX8	2
ERCC3	2
HS6ST1	2
CXCR4	2
LRP1B	2
ACVR2A	2
GPD2	2
ACVR1	2
PDK1	2
SP3	2
CHN1	2
HOXD13	2
HOXD11	2
NFE2L2	2
PMS1	2
STAT1	2
STAT4	2
SF3B1	2
CASP8	2
BMPR2	2
CD28	2
CTLA4	2
CREB1	2
IDH1	2
CPS1	2
ERBB4	2
IKZF2	2
BARD1	2
ATIC	2
FEV	2
INHA	2
PAX3	2
ACSL3	2
CUL3	2
IRS1	2
SP140	2
INPP5D	2
ACKR3	2
HDAC4	2
PASK	2
PDCD1	2
CRBN	3
SETD5	3
FANCD2	3
VHL	3
PPARG	3
RAF1	3
FBLN2	3
XPC	3
TGFBR2	3
MLH1	3
MYD88	3
CTNNB1	3
SETD2	3
RHOA	3
MST1	3
MST1R	3
RBM5	3
PARP3	3
BAP1	3
PBRM1	3
CACNA1D	3
FHIT	3
THOC7	3
ATXN7	3
MITF	3
FOXP1	3
RYBP	3
SHQ1	3
PPP4R2	3
ROBO1	3
EPHA3	3
TFG	3
CBLB	3
C3orf52	3
BTLA	3
ZBTB20	3
GSK3B	3
POLQ	3
GATA2	3
RPN1	3
CNBP	3
EPHB1	3
STAG1	3
PIK3CB	3
FOXL2	3
SLC25A36	3
ATR	3
WWTR1	3
GMPS	3
TIPARP	3
MLF1	3
MECOM	3
PRKCI	3
TBL1XR1	3
PIK3CA	3
SOX2	3
DCUN1D1	3
KLHL6	3
MAP3K13	3
ETV5	3
EIF4A2	3
BCL6	3
LPP	3
TP63	3
FGF12	3
MB21D2	3
TFRC	3
FGFR3	4
SLC34A2	4
RHOH	4
PHOX2B	4
TEC	4
FIP1L1	4
CHIC2	4
PDGFRA	4
KIT	4
KDR	4
REST	4
EPHA5	4
ALB	4
SEC31A	4
PTPN13	4
AFF1	4
RAP1GDS1	4
EIF4E	4
TET2	4
DKK2	4
LEF1	4
IL2	4
FAT4	4
SETD7	4
INPP4B	4
GAB1	4
FBXW7	4
SFRP2	4
IRF2	4
FAT1	4
SDHA	5
TRIP13	5
TERT	5
SEMA5A	5
DROSHA	5
IL7R	5
LIFR	5
RICTOR	5
FGF10	5
DDX4	5
IL6ST	5
MAP3K1	5
PLK2	5
PIK3R1	5
ARHGEF28	5
MSH3	5
TMEM167A	5
RASA1	5
MEF2C	5
APC	5
SNCAIP	5
ACSL6	5
IL3	5
IRF1	5
RAD50	5
AFF4	5
EGR1	5
CTNNA1	5
ARHGAP26	5
