"CellLine"	"Histology"	"ER"	"HER2"	"genefu.robust"	"ssBC"	"ssBC.v2"	"cIHC"	"cIHC.itr"	"PCAPAM50"	"AIMS"	"sspbc"	"entropy"	"TopCall"	"nVotes"	"Tie"	"mRNA Subtypes"	"RPPA Subtypes"	"DNAm Subtypes"
"HS578T-C"	"NST"	"ER-"	"HER2-"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	0	"Basal"	"8"	"FALSE"	"Basal"	"Basal"	NA
"HCC1143-C"	"NST"	"ER-"	"HER2-"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	0	"Basal"	"8"	"FALSE"	"Basal"	"Basal"	"Basal"
"HCC1954-C"	"NST"	"ER-"	"HER2+"	"Her2"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Her2"	"Her2"	0.954434002924965	"Basal"	"5"	"FALSE"	"Basal"	"Basal"	"Basal"
"MDAMB468-C"	"ILC-like"	"ER-"	"HER2-"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	0	"Basal"	"8"	"FALSE"	"Basal"	"Basal"	"Basal"
"HCC2157-C"	"NST"	"ER-"	"HER2-"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	0	"Basal"	"8"	"FALSE"	"Basal"	NA	"Lum/HER2"
"BT474-C"	"NST"	"ER+"	"HER2+"	"LumA"	"LumB"	NA	"LumA"	"LumA"	"LumA"	"Her2"	"Her2"	1.37878349348618	"LumA"	"4"	"FALSE"	"Lum/HER2"	"Lum/HER2"	"Lum/HER2"
"HDQP1-C"	"NST"	"ER-"	"HER2-"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Her2"	0.543564443199596	"Basal"	"7"	"FALSE"	"Basal"	"Basal"	"Basal"
"BT483-C"	"NST"	"ER+"	"HER2-"	"LumA"	"LumA"	"LumA"	"LumA"	"LumA"	"LumA"	"LumB"	"LumB"	0.811278124459133	"LumA"	"6"	"FALSE"	"Lum"	"Lum"	"Lum/HER2"
"HCC1937-C"	"NST"	"ER-"	"HER2-"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Her2"	0.543564443199596	"Basal"	"7"	"FALSE"	"Basal"	"Basal"	"Basal"
"HCC1419-C"	"NST"	"ER-"	"HER2+"	"Her2"	"Her2"	"Her2"	"Her2"	"Her2"	"Her2"	"Her2"	"Her2"	0	"Her2"	"8"	"FALSE"	"Lum/HER2"	"Lum/HER2"	"Lum/HER2"
"HCC1569-C"	"NST"	"ER-"	"HER2+"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	0	"Basal"	"8"	"FALSE"	"Basal"	"Basal"	"Basal"
"HCC1806-C"	"NST"	"ER-"	"HER2-"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Her2"	0.543564443199596	"Basal"	"7"	"FALSE"	"Basal"	"Basal"	"Basal"
"HCC2218-C"	"ILC-like"	"ER-"	"HER2+"	"LumB"	"LumA"	"Her2"	"LumA"	"LumA"	"LumA"	"Her2"	"Her2"	1.40563906222957	"LumA"	"4"	"FALSE"	"Lum/HER2"	"Lum/HER2"	"Lum/HER2"
"HCC202-C"	"NST"	"ER-"	"HER2+"	"Her2"	"Her2"	"Her2"	"Her2"	"Her2"	"Her2"	"Her2"	"Her2"	0	"Her2"	"8"	"FALSE"	"Lum/HER2"	"Lum/HER2"	"Lum/HER2"
"SKBR3-C"	"ILC-like"	"ER-"	"HER2+"	"Her2"	"Her2"	"Her2"	"Her2"	"Her2"	"Her2"	"Her2"	"Her2"	0	"Her2"	"8"	"FALSE"	"HER2"	"HER2"	NA
"UACC812-C"	"NST"	"ER+"	"HER2+"	"LumA"	"LumA"	NA	"LumA"	"LumA"	"LumA"	"Her2"	"Her2"	0.863120568566631	"LumA"	"5"	"FALSE"	"Lum"	"Lum/HER2"	"Lum/HER2"
"MDAMB453-C"	"ILC-like"	"ER-"	"HER2-"	"Her2"	"Her2"	"Her2"	"Her2"	"Her2"	"Her2"	"Her2"	"Her2"	0	"Her2"	"8"	"FALSE"	"Lum/HER2"	"Lum/HER2"	"Lum/HER2"
