"ID"	"DNAm Subtypes"
"MDAMB134VI-I"	"Lum/HER2"
"SUM44PE-I"	"Lum/HER2"
"MDAMB330-I"	"Lum/HER2"
"IPH926-I"	"Lum/HER2"
"WCRC25-I"	"Lum/HER2"
"HCC1187-I"	"Basal"
"600MPE-I"	"Lum/HER2"
"HCC2218-I"	"Lum/HER2"
"HCC2185-I"	"Lum/HER2"
"BCK4-I"	"Lum/HER2"
"UACC3133-I"	"Lum/HER2"
"MDAMB453-I"	"Lum/HER2"
"ZR7530-I"	"Lum/HER2"
"MDAMB468-I"	"Basal"
"CAMA1-I"	"Lum/HER2"
"OCUBM-I"	"Lum/HER2"
"BT20-C"	"Lum/HER2"
"BT474-C"	"Lum/HER2"
"BT483-C"	"Lum/HER2"
"BT549-C"	"Basal"
"CAL148-C"	"Lum/HER2"
"CAMA1-C"	"Lum/HER2"
"EFM19-C"	"Lum/HER2"
"HCC1143-C"	"Basal"
"HCC1187-C"	"Basal"
"HCC1395-C"	"Basal"
"HCC1419-C"	"Lum/HER2"
"HCC1500-C"	"Lum/HER2"
"HCC1569-C"	"Basal"
"HCC1599-C"	"Basal"
"HCC1806-C"	"Basal"
"HCC1937-C"	"Basal"
"HCC1954-C"	"Basal"
"HCC202-C"	"Lum/HER2"
"HCC2157-C"	"Lum/HER2"
"HCC2218-C"	"Lum/HER2"
"HCC38-C"	"Basal"
"HCC70-C"	"Basal"
"HDQP1-C"	"Basal"
"MCF7-C"	"Lum/HER2"
"MDAMB134VI-C"	"Lum/HER2"
"MDAMB157-C"	"Basal"
"MDAMB436-C"	"Basal"
"MDAMB453-C"	"Lum/HER2"
"MDAMB468-C"	"Basal"
"T47D-C"	"Lum/HER2"
"UACC812-C"	"Lum/HER2"
"UACC893-C"	"Lum/HER2"
"ZR7530-C"	"Lum/HER2"
