"Name"	"Sample"	"Histology"	"overlapWCCLE"	"Study"	"ER_rna"	"ER_rna_flag"	"ER_protein"	"ER_protein_flag"	"ER"	"HER2_rna"	"HER2_rna_flag"	"HER2_protein"	"HER2_protein_flag"	"HER2_CN"	"HER2"	"genefu.robust"	"ssBC"	"ssBC.v2"	"cIHC"	"cIHC.itr"	"PCAPAM50"	"AIMS"	"sspbc"	"entropy"	"TopCall"	"nVotes"	"Tie"	"mRNA Subtypes"	"RPPA Subtypes"	"DNAm Subtypes"	"FGA"	"SV"	"Fusions"	"DMI"	"TMB"	"SV_Burden"	"MUT"
"MDAMB134VI-C"	"MDAMB134VI"	"ILC"	"Y"	"Other"	8.65	"ER+"	3.49	"ER+"	"ER+"	5.87	"HER2-"	-1.43	"HER2-"	-1	"HER2-"	"LumA"	"LumA"	"LumA"	"LumA"	"LumA"	"LumA"	"LumB"	"LumB"	0.811278124459133	"LumA"	"6"	"FALSE"	"Lum"	"Lum"	"Lum/HER2"	0.170631016833141	131	NA	16.6934028658591	2.88	0.0423168442098561	144
"BCK4-I"	"BCK4"	"ILC"	""	"ICLE"	8.84	"ER+"	1.19	"ER-"	"ER+"	9.25	"HER2-"	0.91	"HER2-"	0	"HER2-"	"LumA"	"LumA"	"LumA"	"LumA"	"LumA"	"LumA"	"LumB"	"LumB"	0.811278124459133	"LumA"	"6"	"FALSE"	"Lum/HER2"	"Lum"	"Lum/HER2"	0.137694776753871	59	3	18.3497117206277	5.74	0.0190587313616909	287
"MDAMB134VI-I"	"MDAMB134VI"	"ILC"	""	"ICLE"	8.4	"ER+"	3.02	"ER+"	"ER+"	5.89	"HER2-"	-1.39	"HER2-"	0	"HER2-"	"LumB"	"LumB"	"LumB"	"LumB"	"LumB"	"LumB"	"LumB"	"LumB"	0	"LumB"	"8"	"FALSE"	"Lum"	"Lum"	"Lum/HER2"	0.184218749806999	131	12	18.0689437137531	3.94	0.0423168442098561	197
"UACC3133-I"	"UACC3133"	"ILC"	""	"ICLE"	7.36	"ER+"	1.08	"ER-"	"ER+"	10.33	"HER2-"	1.09	"HER2-"	1	"HER2-"	"LumA"	"LumA"	"LumA"	"LumA"	"LumA"	"LumA"	"Her2"	"Her2"	0.811278124459133	"LumA"	"6"	"FALSE"	"Lum/HER2"	"Lum"	"Lum/HER2"	0.326789260332051	164	22	14.4237032483267	5.44	0.0529768125985985	272
"HCC2185-I"	"HCC2185"	"ILC"	""	"ICLE"	3.67	"ER-"	-0.14	"ER-"	"ER-"	9.21	"HER2-"	-0.09	"HER2-"	0	"HER2-"	"LumB"	"Her2"	"Her2"	"LumA"	"LumA"	"LumA"	"Her2"	"Her2"	1.40563906222957	"Her2"	"4"	"FALSE"	"Lum/HER2"	"Basal"	"Lum/HER2"	0.248179753409183	310	38	13.8605753274335	5.62	0.100139096985156	281
"IPH926-I"	"IPH926"	"ILC"	""	"ICLE"	5.99	"ER-"	0.21	"ER-"	"ER-"	8.94	"HER2-"	0.18	"HER2-"	0	"HER2-"	"LumB"	"Basal"	"Her2"	"LumA"	"LumA"	"LumA"	"Her2"	"Her2"	1.81127812445913	"LumA;Her2"	"3"	"TRUE"	"Lum/HER2"	"HER2"	"Lum/HER2"	0.368014023856287	370	31	17.5622057325225	8.16	0.11952085769196	408
"MDAMB330-I"	"MDAMB330"	"ILC"	""	"ICLE"	7.8	"ER+"	1.76	"ER+"	"ER+"	12.66	"HER2+"	4.41	"HER2+"	2	"HER2+"	"LumB"	"LumB"	NA	"LumA"	"LumA"	"LumA"	"Her2"	"LumB"	1.44881563572518	"LumA;LumB"	"3"	"TRUE"	"Lum"	"Lum/HER2"	"Lum/HER2"	0.270808280264789	262	36	20.7216061643535	7.28	0.0846336884197122	364
"SUM44PE-I"	"SUM44PE"	"ILC"	""	"ICLE"	9.82	"ER+"	3.55	"ER+"	"ER+"	7.04	"HER2-"	-1.22	"HER2-"	-1	"HER2-"	"LumB"	"LumB"	"LumB"	"LumB"	"LumB"	"LumB"	"LumB"	"LumB"	0	"LumB"	"8"	"FALSE"	"Lum"	"Lum"	"Lum/HER2"	0.284282409726804	167	14	20.9204192340061	4.84	0.0539459006339387	242
"WCRC25-I"	"WCRC25"	"ILC"	""	"ICLE"	3.02	"ER-"	NA	NA	"ER-"	9.53	"HER2-"	NA	NA	-1	"HER2-"	"Her2"	"Her2"	"Her2"	"Her2"	"Her2"	"Her2"	"Her2"	"Her2"	0	"Her2"	"8"	"FALSE"	"Lum/HER2"	NA	"Lum/HER2"	0.143806071140669	139	18	15.5878138327929	7.46	0.0449010789707634	373
"MDAMB468-C"	"MDAMB468"	"ILC-like"	"Y"	"Other"	2.88	"ER-"	-0.11	"ER-"	"ER-"	6.09	"HER2-"	1.55	"HER2-"	-1	"HER2-"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	0	"Basal"	"8"	"FALSE"	"Basal"	"Basal"	"Basal"	0.531330542950337	285	NA	15.6853290486472	6.86	0.0920633633573206	343
"HCC2218-C"	"HCC2218"	"ILC-like"	"Y"	"Other"	1.34	"ER-"	-0.57	"ER-"	"ER-"	13.2	"HER2+"	3.75	"HER2+"	2	"HER2+"	"LumB"	"LumA"	"Her2"	"LumA"	"LumA"	"LumA"	"Her2"	"Her2"	1.40563906222957	"LumA"	"4"	"FALSE"	"Lum/HER2"	"Lum/HER2"	"Lum/HER2"	0.214358215765335	168	NA	15.6958697654995	6.72	0.0542689299790521	336
"SKBR3-C"	"SKBR3"	"ILC-like"	"Y"	"Other"	1.41	"ER-"	0.09	"ER-"	"ER-"	12.89	"HER2+"	2.66	"HER2+"	2	"HER2+"	"Her2"	"Her2"	"Her2"	"Her2"	"Her2"	"Her2"	"Her2"	"Her2"	0	"Her2"	"8"	"FALSE"	"HER2"	"HER2"	NA	0.205393883925095	544	NA	NA	3.72	0.175727963741693	186
"MDAMB453-C"	"MDAMB453"	"ILC-like"	"Y"	"Other"	0.06	"ER-"	-0.4	"ER-"	"ER-"	9.96	"HER2-"	1.88	"HER2-"	1	"HER2-"	"Her2"	"Her2"	"Her2"	"Her2"	"Her2"	"Her2"	"Her2"	"Her2"	0	"Her2"	"8"	"FALSE"	"Lum/HER2"	"Lum/HER2"	"Lum/HER2"	0.22499447446887	270	NA	20.7546839461099	15.28	0.0872179231806195	764
"ZR7530-C"	"ZR7530"	"ILC-like"	"Y"	"Other"	6.4	"ER-"	1.57	"ER+"	"ER+"	13.31	"HER2+"	3.65	"HER2+"	NA	"HER2+"	"Her2"	"LumA"	NA	"LumA"	"LumA"	"LumA"	"Her2"	"Her2"	0.985228136034252	"LumA"	"4"	"FALSE"	"Lum/HER2"	"Lum/HER2"	"Lum/HER2"	NA	337	NA	16.3340337894483	7.16	0.108860889303218	358
"HCC1187-C"	"HCC1187"	"ILC-like"	"Y"	"Other"	2.65	"ER-"	-0.53	"ER-"	"ER-"	8.19	"HER2-"	0.01	"HER2-"	0	"HER2-"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	"Basal"	0	"Basal"	"8"	"FALSE"	"Basal"	"Basal"	"Basal"	0.227141518055635	256	NA	10.9356808110615	3.8	0.0826955123490318	190
