"ID"	"mRNA Subtypes"
"MDAMB134VI-C"	"Lum"
"BCK4-I"	"Lum/HER2"
"MDAMB134VI-I"	"Lum"
"UACC3133-I"	"Lum/HER2"
"HCC2185-I"	"Lum/HER2"
"IPH926-I"	"Lum/HER2"
"MDAMB330-I"	"Lum"
"SUM44PE-I"	"Lum"
"WCRC25-I"	"Lum/HER2"
"MDAMB468-C"	"Basal"
"HCC2218-C"	"Lum/HER2"
"SKBR3-C"	"HER2"
"MDAMB453-C"	"Lum/HER2"
"ZR7530-C"	"Lum/HER2"
"HCC1187-C"	"Basal"
"CAMA1-C"	"Lum"
"CAMA1-I"	"Lum"
"HCC1187-I"	"Basal"
"HCC2218-I"	"Lum/HER2"
"MDAMB453-I"	"Lum/HER2"
"600MPE-I"	"Lum/HER2"
"SKBR3-I"	"HER2"
"ZR7530-I"	"Lum/HER2"
"MDAMB468-I"	"Basal"
"OCUBM-I"	"Lum/HER2"
"HS578T-C"	"Basal"
"HCC1143-C"	"Basal"
"HCC1954-C"	"Basal"
"HCC2157-C"	"Basal"
"BT474-C"	"Lum/HER2"
"HDQP1-C"	"Basal"
"BT483-C"	"Lum"
"HCC1937-C"	"Basal"
"HCC1419-C"	"Lum/HER2"
"HCC1569-C"	"Basal"
"HCC1806-C"	"Basal"
"HCC202-C"	"Lum/HER2"
"UACC812-C"	"Lum"
"CAL148-C"	"Lum/HER2"
"HCC1395-C"	"Basal"
"HCC1599-C"	"Basal"
"HCC1500-C"	"Lum"
"MCF7-C"	"Lum"
"HCC70-C"	"Basal"
"JIMT1-C"	"Basal"
"KPL1-C"	"Lum"
"HCC38-C"	"Basal"
"BT20-C"	"Basal"
"ZR751-C"	"Lum"
"EFM19-C"	"Lum"
"BT549-C"	"Basal"
"MDAMB157-C"	"Basal"
"T47D-C"	"Lum"
"MDAMB436-C"	"Basal"
"UACC893-C"	"HER2"
"MDAMB175VII-C"	"Lum/HER2"
