Sample	SV	SV_Burden
600MPE	254	0.082049453658805
BCK4	59	0.0190587313616909
CAMA1	114	0.0368253453429282
HCC1187	256	0.0826955123490318
HCC2185	310	0.100139096985156
HCC2218	168	0.0542689299790521
IPH926	370	0.11952085769196
MDAMB134VI	131	0.0423168442098561
MDAMB330	262	0.0846336884197122
MDAMB453	270	0.0872179231806195
MDAMB468	285	0.0920633633573206
OCUBM	490	0.158284379105569
SKBR3	544	0.175727963741693
SUM44PE	167	0.0539459006339387
UACC3133	164	0.0529768125985985
WCRC25	139	0.0449010789707634
ZR7530	337	0.108860889303218
